ID,CardSourceID,CardHolderID,DateIn,ReportField1,ReportField2,DateOut,HoursWorked
7404,1080,218065035,NULL,,,4/11/2017 13:15,0
7405,1080,218512499,NULL,,,4/11/2017 13:15,0
7406,1080,216102640,NULL,,,4/11/2017 13:15,0
7407,1080,215770017,NULL,,,4/11/2017 13:15,0
7408,1080,216490482,NULL,,,4/11/2017 13:16,0
7409,1080,213145568,NULL,,,4/11/2017 13:16,0
7410,1080,219581998,NULL,,,4/11/2017 13:16,0
7411,1080,237002209,NULL,,,4/11/2017 13:17,0
7412,1080,221461676,NULL,,,4/11/2017 13:17,0
7413,1080,216526913,NULL,,,4/11/2017 13:17,0
7414,1080,232981423,NULL,,,4/11/2017 13:18,0
7415,1080,216564161,NULL,,,4/11/2017 13:19,0
7416,1080,214591653,NULL,,,4/11/2017 13:20,0
7417,1080,240191627,NULL,,,4/11/2017 13:25,0
7418,1080,217315563,NULL,,,4/11/2017 13:25,0
7419,1080,217197706,NULL,,,4/11/2017 13:25,0
7420,1080,213686009,NULL,,,4/11/2017 13:25,0
7421,1080,216759860,NULL,,,4/11/2017 13:26,0
7422,1080,215675604,NULL,,,4/11/2017 13:27,0
7423,1080,214330821,NULL,,,4/11/2017 13:27,0
7424,1080,216273300,NULL,,,4/11/2017 13:27,0
7425,1080,208659789,NULL,,,4/11/2017 13:28,0
7426,1080,223339714,NULL,,,4/11/2017 13:28,0
7427,1080,216403600,NULL,,,4/11/2017 13:28,0
7428,1080,220117584,NULL,,,4/11/2017 13:28,0
7429,1080,214926875,NULL,,,4/11/2017 13:29,0
7430,1080,218688414,NULL,,,4/11/2017 13:29,0
7431,1080,215009176,NULL,,,4/11/2017 13:29,0
7432,1080,214712432,NULL,,,4/11/2017 13:29,0
7433,1080,218923126,NULL,,,4/11/2017 13:29,0
7434,1080,215890245,NULL,,,4/11/2017 13:29,0
7435,1080,217197698,NULL,,,4/11/2017 13:30,0
7436,1080,214242224,NULL,,,4/11/2017 13:44,0
7437,1080,216487223,NULL,,,4/11/2017 13:45,0
7438,1080,215970310,NULL,,,4/11/2017 13:45,0
7439,1080,216901678,NULL,,,4/11/2017 13:45,0
7440,1080,216487819,NULL,,,4/11/2017 13:45,0
7441,1080,214313231,NULL,,,4/11/2017 13:45,0
7442,1080,225161025,NULL,,,4/11/2017 13:46,0
7443,1080,219936788,NULL,,,4/11/2017 13:46,0
7444,1080,217182989,NULL,,,4/11/2017 13:46,0
7445,1080,217284371,NULL,,,4/11/2017 13:46,0
7446,1080,210187886,NULL,,,4/11/2017 13:46,0
