CardHolderID,Date
"221261506","9/16/2016"
"214842387","1/19/2017"
"222487142","12/8/2016"
"225161025","12/22/2016"
"219592011","12/15/2016"
"209097179","5/11/2017"
"214586885","1/10/2017"
"217197987","12/1/2016"
"222487142","2/14/2017"
"214842387","1/5/2017"
"213443674","12/19/2016"
"215536095","12/22/2016"
"219714201","1/19/2017"
"216563965","11/17/2016"
"214330821","12/19/2016"
"226857217","3/22/2017"
"223497041","1/13/2017"
"222700791","9/29/2016"
"210187886","12/16/2016"
"216356352","3/2/2017"
"221261506","10/21/2016"
"217008168","1/13/2017"
"221218332","1/19/2017"
"218621902","12/20/2016"
"220360051","11/16/2016"
"215569393","3/7/2017"
"215689365","3/6/2017"
"223133802","12/15/2016"
"215540444","5/11/2017"
"215536095","12/19/2016"
"223131418","12/6/2016"
"218611424","2/8/2017"
"213026750","1/12/2017"
"215238999","12/21/2016"
"218971257","1/12/2017"
"222602104","12/8/2016"
"221277122","12/6/2016"
"219828266","1/12/2017"
"218116036","12/16/2016"
"222467359","4/18/2017"
"214330821","12/20/2016"
"214888349","12/20/2016"
"220360051","10/12/2016"
"222602104","12/6/2016"
"221373053","1/10/2017"
"218509479","12/5/2016"
"226857217","4/4/2017"
"220360051","2/10/2017"
"221775752","4/18/2017"
"211722079","3/21/2017"
"218634418","1/4/2017"
"222700791","10/20/2016"
"223371634","12/5/2016"
"221775752","4/12/2017"
"222537607","12/1/2016"
"219936788","12/22/2016"
"223323965","4/6/2017"
"218012326","12/16/2016"
