ID,CardSourceID,CardHolderID,DateIn,InTime,ReportField1,ReportField2,DateOut,OutTime,HoursWorked
4932,73,226672145,3/22/2017,8:40,,,3/23/2017,15:37,30.95
4933,73,219592011,3/22/2017,8:41,,,NULL,NULL,0
4934,73,216273300,3/22/2017,8:41,,,NULL,NULL,0
4935,73,218621787,3/22/2017,8:41,,,NULL,NULL,0
4936,73,216538280,3/22/2017,8:43,,,NULL,NULL,0
4937,73,210187886,3/22/2017,8:43,,,NULL,NULL,0
4831,73,214569832,3/21/2017,8:44,,,NULL,NULL,0
4830,73,213686009,3/21/2017,8:44,,,NULL,NULL,0
4833,73,222247652,3/21/2017,8:45,,,NULL,NULL,0
4832,73,236959060,3/21/2017,8:44,,,NULL,NULL,0
4835,73,220395701,3/21/2017,8:51,,,NULL,NULL,0
4834,73,220012637,3/21/2017,8:46,,,NULL,NULL,0
4837,73,220879977,3/21/2017,8:58,,,NULL,NULL,0
4836,73,216901348,3/21/2017,8:55,,,3/23/2017,15:35,54.667
7072,73,232702704,NULL,NULL,,,4/6/2017,16:49,0
5115,73,220814677,3/23/2017,8:42,,,NULL,NULL,0
5114,73,219293461,3/23/2017,8:40,,,3/23/2017,15:39,6.983
5117,73,205438062,3/23/2017,8:44,,,3/23/2017,15:26,6.7
5116,73,222656407,3/23/2017,8:43,,,NULL,NULL,0
5111,73,215732025,3/23/2017,8:39,,,3/23/2017,15:33,6.9
5110,73,220314793,3/23/2017,8:38,,,3/23/2017,15:42,7.067
5113,73,212713291,3/23/2017,8:39,,,3/23/2017,15:56,7.283
5112,73,220026173,3/23/2017,8:39,,,3/23/2017,15:48,7.15
5119,73,232702704,3/23/2017,8:47,,,3/23/2017,15:33,6.767
5118,73,220149744,3/23/2017,8:46,,,3/23/2017,15:40,6.9
7073,73,215770017,NULL,NULL,,,4/6/2017,16:49,0
5385,73,216360487,NULL,NULL,,,3/23/2017,15:39,0
4369,73,232981423,NULL,NULL,,,3/15/2017,12:39,0
6222,73,221038375,4/3/2017,8:38,,,NULL,NULL,0
6223,73,220202287,4/3/2017,8:43,,,NULL,NULL,0
6220,73,238069728,4/3/2017,8:36,,,4/6/2017,15:44,79.133
6221,73,220389456,4/3/2017,8:36,,,NULL,NULL,0
6226,73,216487223,4/3/2017,8:44,,,4/6/2017,15:56,79.2
6227,73,227189917,4/3/2017,8:45,,,NULL,NULL,0
6224,73,215219718,4/3/2017,8:43,,,4/6/2017,15:47,79.067
6225,73,221536113,4/3/2017,8:44,,,NULL,NULL,0
4844,73,217008168,3/21/2017,9:26,,,3/23/2017,15:31,54.083
4845,73,219935822,3/21/2017,9:36,,,3/23/2017,15:38,54.033
6228,73,213686009,4/3/2017,8:45,,,NULL,NULL,0
6229,73,215455122,4/3/2017,8:46,,,4/6/2017,15:45,78.983
4840,73,222822959,3/21/2017,9:10,,,NULL,NULL,0
4841,73,220012579,3/21/2017,9:19,,,NULL,NULL,0
4842,73,213026750,3/21/2017,9:19,,,NULL,NULL,0
4843,73,216487223,3/21/2017,9:20,,,NULL,NULL,0
6997,73,216631093,NULL,NULL,,,4/6/2017,15:44,0
6990,73,234147247,NULL,NULL,,,4/6/2017,15:43,0
6991,73,237002217,NULL,NULL,,,4/6/2017,15:44,0
6992,73,220026173,NULL,NULL,,,4/6/2017,15:44,0
6967,73,215970310,NULL,NULL,,,4/6/2017,15:41,0
6993,73,223323957,NULL,NULL,,,4/6/2017,15:44,0
4162,73,220274336,NULL,NULL,,,3/13/2017,15:49,0
4152,73,236959060,NULL,NULL,,,3/13/2017,15:47,0
4153,73,213686009,NULL,NULL,,,3/13/2017,15:47,0
4150,73,220301287,NULL,NULL,,,3/13/2017,15:47,0
4151,73,236958724,NULL,NULL,,,3/13/2017,15:47,0
4156,73,238069728,NULL,NULL,,,3/13/2017,15:47,0
4157,73,226672145,NULL,NULL,,,3/13/2017,15:48,0
4154,73,221381601,NULL,NULL,,,3/13/2017,15:47,0
4155,73,220288385,NULL,NULL,,,3/13/2017,15:47,0
4158,73,221214497,NULL,NULL,,,3/13/2017,15:48,0
4159,73,220346779,NULL,NULL,,,3/13/2017,15:48,0
7504,73,232647347,4/12/2017,9:13,,,NULL,NULL,0
7505,73,219935822,4/12/2017,9:13,,,NULL,NULL,0
7500,73,215883398,4/12/2017,8:51,,,NULL,NULL,0
7501,73,217060938,4/12/2017,8:53,,,NULL,NULL,0
7502,73,220389456,4/12/2017,8:54,,,NULL,NULL,0
7503,73,221181480,4/12/2017,9:12,,,NULL,NULL,0
6966,73,218512499,NULL,NULL,,,4/6/2017,15:40,0
7487,73,221218332,4/12/2017,8:35,,,NULL,NULL,0
7058,73,223269705,NULL,NULL,,,4/6/2017,16:02,0
7059,73,215170036,NULL,NULL,,,4/6/2017,16:02,0
5379,73,218512499,NULL,NULL,,,3/23/2017,15:35,0
5378,73,219590833,NULL,NULL,,,3/23/2017,15:35,0
5375,73,218512499,NULL,NULL,,,3/23/2017,15:34,0
5374,73,218512499,NULL,NULL,,,3/23/2017,15:34,0
5377,73,217182989,NULL,NULL,,,3/23/2017,15:35,0
5376,73,215016338,NULL,NULL,,,3/23/2017,15:35,0
5371,73,218512499,NULL,NULL,,,3/23/2017,15:33,0
5370,73,215770017,NULL,NULL,,,3/23/2017,15:33,0
5373,73,218512499,NULL,NULL,,,3/23/2017,15:34,0
5372,73,218512499,NULL,NULL,,,3/23/2017,15:34,0
6998,73,220372304,NULL,NULL,,,4/6/2017,15:44,0
6999,73,224358028,NULL,NULL,,,4/6/2017,15:44,0
4338,73,223156639,NULL,NULL,,,3/15/2017,12:22,0
4339,73,216360487,NULL,NULL,,,3/15/2017,12:23,0
4336,73,216403600,NULL,NULL,,,3/15/2017,12:21,0
4337,73,214591653,NULL,NULL,,,3/15/2017,12:22,0
4334,73,218609774,NULL,NULL,,,3/15/2017,12:19,0
