"4482","214330821","5/10/2017","In Attendance","214330821|5/10/2017"
"4483","214330821","5/11/2017","In Attendance","214330821|5/11/2017"
"6966","214330821","12/5/2016","Tardy","214330821|12/5/2016"
"15345","214330821","1/23/2017","Tardy","214330821|1/23/2017"
"4584","214381733","12/14/2016","In Attendance","214381733|12/14/2016"
"4585","214381733","12/15/2016","In Attendance","214381733|12/15/2016"
"4586","214381733","12/16/2016","In Attendance","214381733|12/16/2016"
"4595","214381733","1/10/2017","In Attendance","214381733|1/10/2017"
"4603","214381733","1/23/2017","In Attendance","214381733|1/23/2017"
"4635","214381733","12/14/2016","In Attendance","214381733|12/14/2016"
"4636","214381733","12/15/2016","In Attendance","214381733|12/15/2016"
"4637","214381733","12/16/2016","In Attendance","214381733|12/16/2016"
"4638","214381733","1/10/2017","In Attendance","214381733|1/10/2017"
"4639","214381733","1/23/2017","In Attendance","214381733|1/23/2017"
"4700","214481558","3/1/2017","In Attendance","214481558|3/1/2017"
"4701","214481558","3/2/2017","In Attendance","214481558|3/2/2017"
"4703","214481558","3/6/2017","In Attendance","214481558|3/6/2017"
"4704","214481558","3/7/2017","In Attendance","214481558|3/7/2017"
"4750","214481558","3/1/2017","Unexcused Absence","214481558|3/1/2017"
"4751","214481558","3/2/2017","Unexcused Absence","214481558|3/2/2017"
"4752","214481558","3/6/2017","In Attendance","214481558|3/6/2017"
"4753","214481558","3/7/2017","In Attendance","214481558|3/7/2017"
"4758","214491532","12/5/2016","In Attendance","214491532|12/5/2016"
"4759","214491532","12/9/2016","In Attendance","214491532|12/9/2016"
"4836","214491532","12/5/2016","In Attendance","214491532|12/5/2016"
"4839","214491532","12/9/2016","In Attendance","214491532|12/9/2016"
"4954","214492027","1/4/2017","In Attendance","214492027|1/4/2017"
"4995","214492027","1/4/2017","In Attendance","214492027|1/4/2017"
"5008","214492027","1/23/2017","In Attendance","214492027|1/23/2017"
"5009","214492027","1/24/2017","In Attendance","214492027|1/24/2017"
"5038","214492027","1/23/2017","In Attendance","214492027|1/23/2017"
"5039","214492027","1/24/2017","In Attendance","214492027|1/24/2017"
"5110","214508384","3/1/2017","In Attendance","214508384|3/1/2017"
