"447","207052606","11/22/2016","In Attendance","207052606|11/22/2016"
"448","207052606","11/28/2016","In Attendance","207052606|11/28/2016"
"449","207052606","11/29/2016","In Attendance","207052606|11/29/2016"
"450","207052606","11/30/2016","In Attendance","207052606|11/30/2016"
"451","221398134","9/27/2016","Tardy","221398134|9/27/2016"
"452","222602104","9/27/2016","Tardy","222602104|9/27/2016"
"453","207052606","12/5/2016","In Attendance","207052606|12/5/2016"
"454","223269341","9/27/2016","Tardy","223269341|9/27/2016"
"455","207052606","12/7/2016","In Attendance","207052606|12/7/2016"
"456","207052606","12/8/2016","In Attendance","207052606|12/8/2016"
"457","207052606","12/9/2016","In Attendance","207052606|12/9/2016"
"458","207052606","12/12/2016","In Attendance","207052606|12/12/2016"
"459","207052606","12/13/2016","Unexcused Absence","207052606|12/13/2016"
"460","207052606","12/14/2016","In Attendance","207052606|12/14/2016"
"461","223686353","9/27/2016","Tardy","223686353|9/27/2016"
"462","207052606","12/16/2016","In Attendance","207052606|12/16/2016"
"463","207052606","12/19/2016","In Attendance","207052606|12/19/2016"
"464","226775450","9/27/2016","Tardy","226775450|9/27/2016"
"465","227169133","9/27/2016","Tardy","227169133|9/27/2016"
"466","234896496","9/27/2016","Tardy","234896496|9/27/2016"
